,Accuracy Test,Balanced Accuracy Test,AUROC Test,AUPRC Test,MCC Test,Precision Test,Sensitivity Test,Specificity Test,F1 Test
ECFP,0.857 ± 0.001,0.773 ± 0.003,0.921 ± 0.001,0.837 ± 0.000,0.627 ± 0.004,0.865 ± 0.002,0.581 ± 0.005,0.965 ± 0.001,0.695 ± 0.004
RDKIT,0.841 ± 0.001,0.735 ± 0.003,0.912 ± 0.001,0.821 ± 0.001,0.582 ± 0.004,0.890 ± 0.002,0.494 ± 0.005,0.976 ± 0.001,0.635 ± 0.005
MACCS,0.848 ± 0.001,0.766 ± 0.000,0.912 ± 0.001,0.807 ± 0.000,0.602 ± 0.001,0.827 ± 0.004,0.580 ± 0.002,0.953 ± 0.002,0.682 ± 0.000
PHYCHEM,0.832 ± 0.002,0.763 ± 0.002,0.894 ± 0.001,0.770 ± 0.002,0.564 ± 0.006,0.748 ± 0.006,0.605 ± 0.002,0.921 ± 0.002,0.669 ± 0.004
ESTATE,0.847 ± 0.000,0.772 ± 0.001,0.914 ± 0.001,0.809 ± 0.002,0.600 ± 0.001,0.803 ± 0.001,0.601 ± 0.003,0.942 ± 0.001,0.687 ± 0.002
SUBSTRUCT,0.778 ± 0.000,0.737 ± 0.001,0.836 ± 0.001,0.665 ± 0.000,0.464 ± 0.001,0.595 ± 0.001,0.646 ± 0.002,0.829 ± 0.001,0.619 ± 0.001
ALL_FEATURES,0.859 ± 0.002,0.773 ± 0.004,0.929 ± 0.000,0.850 ± 0.001,0.632 ± 0.006,0.876 ± 0.001,0.578 ± 0.008,0.968 ± 0.000,0.696 ± 0.006
SELECTED_FEATURES,0.856 ± 0.002,0.766 ± 0.002,0.930 ± 0.001,0.849 ± 0.002,0.624 ± 0.004,0.879 ± 0.003,0.563 ± 0.004,0.970 ± 0.001,0.686 ± 0.004
SELFIES,0.814 ± 0.001,0.709 ± 0.001,0.886 ± 0.001,0.754 ± 0.002,0.500 ± 0.003,0.778 ± 0.004,0.470 ± 0.002,0.948 ± 0.001,0.586 ± 0.002
