Accuracy,Balanced Accuracy,AUROC,AUPRC,MCC,Precision,Sensitivity,Specificity,F1,Feature_Set,Run,Seed
0.8672880603639591,0.8371466229987435,0.9276098651466269,0.852283726286397,0.6720356491731877,0.7601880877742947,0.768621236133122,0.905672009864365,0.764381402679275,ECFP,1,42
0.8699511762094985,0.8389961914327756,0.9282532570186872,0.8533506221894349,0.6776647142254041,0.7674050632911392,0.768621236133122,0.9093711467324291,0.768012668250198,ECFP,2,43
0.8686196182867288,0.8404920653221063,0.9266811727025975,0.8525970410089556,0.6764788398096133,0.7596899224806202,0.7765451664025357,0.9044389642416769,0.768025078369906,ECFP,3,44
0.8632933865956502,0.806292636314073,0.9212003728448571,0.8365885709010548,0.6481011947123874,0.8041431261770244,0.6767036450079239,0.935881627620222,0.7349397590361446,RDKIT,1,42
0.8632933865956502,0.8101656892842277,0.919633173812534,0.8318546116292418,0.6496518475159542,0.7952468007312614,0.6893819334389857,0.9309494451294698,0.7385398981324278,RDKIT,2,43
0.8615179760319573,0.8084485120402704,0.9213146884849953,0.8376492282911637,0.6452556445259126,0.7905282331511839,0.687797147385103,0.9290998766954377,0.735593220338983,RDKIT,3,44
0.8650687971593432,0.8327005262427674,0.9223616047961762,0.823533061602303,0.6654010524855347,0.7591125198098256,0.7591125198098256,0.906288532675709,0.7591125198098256,MACCS,1,42
0.8615179760319573,0.8268455136485058,0.9220157267055014,0.8266703915652414,0.6556097738153251,0.7552,0.7480190174326465,0.905672009864365,0.7515923566878981,MACCS,2,43
0.8632933865956502,0.8290468225137325,0.9213220164106453,0.8243224721664995,0.6600253143290035,0.7584,0.751188589540412,0.906905055487053,0.7547770700636943,MACCS,3,44
0.8229027962716379,0.8019632978401183,0.8983357792320725,0.7684313959097415,0.5815498317000082,0.6611111111111111,0.7543581616481775,0.8495684340320592,0.7046632124352331,PHYCHEM,1,42
0.8273413226808699,0.8045617802755691,0.8987402807279464,0.7672808054742966,0.5892025692274738,0.6709039548022598,0.7527733755942948,0.8563501849568435,0.7094846900672144,PHYCHEM,2,43
0.8242343541944075,0.8019198188145957,0.8994877291442351,0.7714305133690844,0.5829839481416128,0.664796633941094,0.751188589540412,0.8526510480887793,0.7053571428571429,PHYCHEM,3,44
0.8521970705725699,0.8261816035846258,0.9186282709417459,0.8235901589404115,0.6408430886833061,0.7223880597014926,0.7670364500792393,0.8853267570900123,0.744043043812452,ESTATE,1,42
0.8526409232134932,0.827942259854106,0.9172291256709937,0.8217432601453694,0.6429276438407471,0.7214814814814815,0.7717908082408875,0.8840937114673243,0.7457886676875957,ESTATE,2,43
0.8517532179316467,0.8263574738002232,0.9168441653101862,0.8191576620782863,0.6403650006707235,0.7206537890044576,0.768621236133122,0.8840937114673243,0.7438650306748467,ESTATE,3,44
0.7918331114070128,0.7668293140475357,0.8598568416445038,0.6935463094816348,0.5113010953207761,0.6103542234332425,0.7099841521394612,0.8236744759556104,0.6564102564102564,SUBSTRUCT,1,42
0.7927208166888593,0.7703506265864959,0.8606345788201453,0.6942157526151544,0.5162575226454578,0.6102150537634409,0.7194928684627575,0.8212083847102343,0.6603636363636364,SUBSTRUCT,2,43
0.7936085219707057,0.7719354126403786,0.8606658446362515,0.6946215801820306,0.518931253224837,0.6112600536193029,0.722662440570523,0.8212083847102343,0.6623093681917211,SUBSTRUCT,3,44
0.893919218819352,0.8633884132793737,0.9507294705720276,0.8852876591778642,0.7344419527017282,0.8213114754098361,0.7939778129952456,0.9327990135635018,0.8074133763094279,ALL_FEATURES,1,42
0.8863737239236573,0.8537907847915254,0.9486766743333054,0.8844806817555784,0.7154133893291692,0.8078817733990148,0.7797147385103012,0.9278668310727497,0.7935483870967742,ALL_FEATURES,2,43
0.8925876608965824,0.8629477606836271,0.9514046167885708,0.8872584638450761,0.7316775248003136,0.816260162601626,0.7955625990491284,0.9303329223181258,0.8057784911717496,ALL_FEATURES,3,44
0.8956946293830448,0.8626849324169844,0.9498237389617014,0.886689780131441,0.7376494493619017,0.8311036789297659,0.7876386687797148,0.937731196054254,0.8087876322213181,SELECTED_FEATURES,1,42
0.8925876608965824,0.8600429709560109,0.9511359261814081,0.8884042042393646,0.7303378501109877,0.8225538971807629,0.786053882725832,0.9340320591861899,0.8038897893030794,SELECTED_FEATURES,2,43
0.8948069241011984,0.8630366728481791,0.950638604293969,0.8876891998121255,0.7360237043539917,0.8261589403973509,0.7908082408874801,0.9352651048088779,0.8080971659919028,SELECTED_FEATURES,3,44
0.8193519751442521,0.7781954152588907,0.887181210807811,0.7580906983511966,0.5540039968566496,0.675,0.6846275752773375,0.8717632552404438,0.6797797010228167,SELFIES,1,42
0.8308921438082557,0.7939563177466726,0.8903673928803827,0.762620328825415,0.583752429941389,0.6934984520123839,0.7099841521394612,0.8779284833538841,0.701644479248238,SELFIES,2,43
0.8246782068353307,0.7838310786120323,0.8863575519647635,0.7580753651791804,0.5662998936327646,0.6855345911949685,0.6909667194928685,0.8766954377311961,0.6882399368587214,SELFIES,3,44
