token,id
[#Branch1],1
[#Branch2],2
[#C],3
[#N],4
[/C@@H1],5
[/C],6
[/N+1],7
[/N],8
[/O],9
[/P],10
[/S],11
[=Branch1],12
[=Branch2],13
[=C],14
[=N+1],15
[=N-1],16
[=N],17
[=O],18
[=P],19
[=Ring1],20
[=Ring2],21
[=S],22
[Br],23
[Branch1],24
[Branch2],25
[C-1],26
[C@@H1],27
[C@@],28
[C@H1],29
[C@],30
[C],31
[Cl],32
[F],33
[I+1],34
[I],35
[N+1],36
[N-1],37
[N@+1],38
[N@@+1],39
[NH1+1],40
[NH1-1],41
[NH1],42
[NH2+1],43
[NH3+1],44
[N],45
[O-1],46
[O],47
[P+1],48
[P],49
[Ring1],50
[Ring2],51
[S-1],52
[S],53
[\Br],54
[\C@@H1],55
[\C@H1],56
[\C],57
[\N+1],58
[\N],59
[\O],60
[\S],61
